type,price,location,date,time,weather,rain
scooter,850,design & innovation bldg - ,10/17/2022,15:47,67.5,0.0
scooter,689,rimac,10/17/2022,22:30,67.5,0.0
bicycle,270,blake hall,10/17/2022,19:10,61.3,0.0
scooter,387,center hall,10/18/2022,08:40,61.3,0.0
bicycle,225,seventh college  tower,10/18/2022,04:30,58.6,0.1
bicycle,700,nuevo  - piedra,10/20/2022,01:15,50.4,0.0
bicycle,600,science & engineering research facility,10/20/2022,08:35,50.4,0.0
bicycle,200,blake hall,10/20/2022,04:45,47.0,0.0
scooter,599,trolley - central campus stop,10/19/2022,19:20,56.1,0.0
scooter,600,seventh college ,10/23/2022,02:37,57.6,0.0
bicycle,-1,ucsd medical facility - hillcrest,10/22/2022,15:15,57.6,0.0
bicycle,1600,nuevo  - tierra,10/24/2022,13:56,43.2,0.0
scooter,500,ladden hall,10/24/2022,13:00,62.2,0.0
bicycle,250,osler ln,10/24/2022,15:11,58.7,0.0
bicycle,500,price center,10/24/2022,21:15,51.4,0.0
bicycle,500,gilman dr,10/24/2022,09:40,68.4,0.0
bicycle,90,russell lane,10/25/2022,02:00,67.2,0.0
bicycle,500,mesa nueva - artesa,10/25/2022,02:52,67.2,0.0
bicycle,1000,blacks beach,10/25/2022,13:32,60.6,0.0
scooter,300,café ventanas,10/26/2022,09:00,65.9,0.0
bicycle,1500,mesa nueva,10/26/2022,01:00,62.2,0.0
bicycle,500,conrad prebys music center,10/25/2022,11:55,63.2,0.0
bicycle,300,regents rd,10/26/2022,05:02,62.4,0.0
scooter,790,price center,10/26/2022,21:59,77.8,0.0
bicycle,150,coast apartments,10/27/2022,00:30,75.7,0.0
bicycle,442,biomedical sciences wy,10/27/2022,15:22,72.5,0.0
bicycle,400,matthews apartments,10/24/2022,20:00,76.6,0.0
scooter,-1,nordstrom rack,10/27/2022,19:07,78.6,0.0
bicycle,1300,student services center,10/27/2022,21:16,65.6,0.0
bicycle,150,miramar st,10/27/2022,06:00,63.4,0.0
bicycle,500,earth hall,10/27/2022,23:00,62.4,0.3
scooter,-1,la jolla village dr shopping center,10/29/2022,19:53,62.2,0.0
bicycle,900,one miramar st bldg 3,10/29/2022,12:30,69.6,0.0
bicycle,100,lion tree arena,10/30/2022,12:15,59.5,0.0
bicycle,-1,warren apts - goldberg,02/01/2022,02:01,58.6,0.0
bicycle,900,rimac ,02/01/2022,15:50,57.8,0.0
bicycle,600,geisel library,02/01/2022,15:10,51.0,0.0
bicycle,1340,price center south,01/29/2022,17:30,55.5,0.0
bicycle,1400,matthews bldg b,01/20/2022,15:00,54.2,0.0
bicycle,400,residence hall ,02/02/2022,02:00,70.0,0.0
bicycle,150,pepper canyon  apts,02/02/2022,02:12,50.8,0.0
bicycle,949,warren field,02/02/2022,21:00,55.6,0.0
bicycle,-1,frankfurter hall ,02/02/2022,03:30,60.2,0.0
bicycle,600,kaleidoscope,02/02/2022,13:15,49.3,0.0
bicycle,800,price center,02/03/2022,22:45,49.3,0.0
scooter,450,geisel library,02/04/2022,03:25,63.9,0.0
scooter,450,geisel library,02/04/2022,09:35,60.4,0.0
bicycle,400,scholars dr n / muir ln,02/03/2022,23:00,50.1,0.0
bicycle,400,geisel library,01/02/2019,16:24,41.1,0.0
bicycle,-1,seventh college,02/06/2022,03:15,68.3,0.0
bicycle,250,avenida sivrita,02/06/2022,12:50,57.3,0.0
bicycle,750,gilman dr,02/07/2022,06:45,71.8,0.0
bicycle,600, tierra building,02/08/2022,10:30,61.0,0.0
bicycle,200,blake hall,02/08/2022,04:00,74.2,0.0
bicycle,129,douglas hall,02/08/2022,06:27,73.0,0.0
scooter,400,price center,02/08/2022,18:37,49.6,0.0
bicycle,656,voigt lane,02/06/2022,07:00,66.7,0.0
bicycle,400,ucsd police department,01/10/2022,00:00,56.2,0.0
bicycle,300,regents rd,02/09/2022,13:00,60.6,0.0
bicycle,479,miramar street,02/10/2022,13:20,61.0,0.0
scooter,500,trolley - central campus stop,02/11/2022,20:58,50.8,0.0
bicycle,-1,catalyst building,02/14/2022,14:45,55.2,0.0
scooter,899,target ,02/14/2022,17:30,56.1,0.0
scooter,900,price center ,02/14/2022,17:27,56.1,0.0
bicycle,300,structural material & engineering bldg,02/15/2022,11:30,51.5,0.0
bicycle,300,goldberg hall,02/15/2022,01:30,56.3,0.1
scooter,-1,geisel library,02/15/2022,20:50,46.4,0.0
scooter,800,serf bldg ,02/16/2022,02:00,57.3,0.0
bicycle,600,lot 207,02/02/2022,21:00,43.2,0.0
scooter,800,library walk - geisel ,02/14/2022,00:30,58.3,0.0
scooter,600,engineering bldg 2,02/16/2022,15:50,50.7,0.0
bicycle,-1,center hall,02/16/2022,18:06,46.9,0.0
bicycle,100,north mandeville ,02/16/2022,20:10,47.5,0.0
bicycle,-1,warren lecture hall,02/17/2022,17:55,46.3,0.0
bicycle,3739,structural and material engineering bldg,02/17/2022,17:15,46.3,0.0
scooter,200,ebu1,02/17/2022,18:18,46.8,0.0
bicycle,110,galbraith hall,02/17/2022,21:30,44.1,0.0
scooter,600,64 degrees,02/18/2022,10:53,55.9,0.0
bicycle,860,redwood drive,02/18/2022,12:13,51.3,0.0
bicycle,228,mosaic sixth college,02/14/2022,03:00,71.2,0.0
bicycle,228,mosaic sixth college,02/18/2022,12:00,51.3,0.0
scooter,400,marshall upper apartments,02/18/2022,15:45,49.0,0.0
bicycle,468,social sciences building,02/18/2022,18:19,45.6,0.0
bicycle,500,matthews ln,02/18/2022,13:30,50.5,0.0
bicycle,1,seventh college  #1,02/18/2022,18:00,45.6,0.0
bicycle,350,camp snoopy residence halls,02/19/2022,19:00,50.6,0.0
bicycle,800,ucsd police,02/20/2022,01:00,56.1,0.0
bicycle,1000,seventh college ,02/16/2022,04:30,60.0,0.0
bicycle,-1,trolley - ucsd health (voigt),02/23/2022,19:02,39.7,0.0
bicycle,400,galbraith hall walkway,12/10/2021,20:20,46.0,0.0
scooter,600,9192 regents rd,02/24/2022,01:15,51.4,0.0
bicycle,100,9515 gilman dr,02/24/2022,10:30,51.8,0.0
scooter,369,lot 506,02/24/2022,20:24,47.0,0.0
bicycle,150,ntpll - kaleidoscope ,02/24/2022,12:30,70.0,0.0
bicycle,500,camp snoopy,01/30/2022,15:55,73.8,0.0
scooter,1000,price center ,02/25/2022,20:22,73.8,0.0
bicycle,600,rita atkinson hall,02/24/2022,11:05,78.5,0.0
bicycle,-1,tuolomne apts,02/28/2022,10:06,67.6,0.0
bicycle,300,beagle hall,02/28/2022,10:19,68.4,0.0
scooter,600,marshall field  side,02/28/2022,02:15,82.0,0.0
bicycle,200,rita atkinson entrance ,02/18/2022,12:00,72.0,0.0
scooter,800,seventh college  #8,02/28/2022,16:30,73.7,0.0
bicycle,580,structural & engineering bldg,02/28/2022,18:07,39.0,0.0
bicycle,800,warren mall,08/02/2022,12:17,48.9,0.0
bicycle,-1,seventh college,08/05/2022,10:30,49.7,0.0
bicycle,1000,seventh college ,08/05/2022,10:38,40.0,0.0
bicycle,650,mesa nueva arena - 2nd floor ,08/06/2022,07:30,50.5,0.0
bicycle,400,central mesa apts - ,08/07/2022,20:05,60.9,0.0
bicycle,1000,price center  - ,08/08/2022,21:01,60.9,0.0
bicycle,549,pangea parking structure,08/11/2022,05:50,68.9,0.0
scooter,868,uc san diego bookstore,08/11/2022,00:15,51.3,0.0
bicycle,500,social science bldg,08/11/2022,10:45,49.8,0.0
scooter,500,regents rd,08/15/2022,13:15,70.2,0.0
scooter,600,ucsd police department,08/15/2022,13:07,70.2,0.0
bicycle,900,regents road,08/15/2022,17:00,68.7,0.0
bicycle,2000,café ventanas loading dock,08/19/2022,06:45,76.4,0.0
bicycle,2349,biomedical sciences building,08/20/2022,16:49,67.5,0.0
bicycle,800,rita atkinson residence hall,08/21/2022,01:00,71.2,0.0
bicycle,500,warren mall,08/22/2022,16:27,68.1,0.0
bicycle,1500,stein clinical research bldg,08/23/2022,12:25,68.9,0.0
bicycle,200,ola parking garage - ,08/24/2022,21:12,68.9,0.0
bicycle,1200,sequoyah hall,08/25/2022,11:37,72.9,0.0
bicycle,350,south side of price center,08/22/2022,13:10,67.8,0.0
scooter,500,rec gym - ,08/25/2022,15:30,69.9,0.0
bicycle,400,nuevo ,08/25/2022,13:10,70.5,0.0
scooter,-1,ebu1,08/26/2022,18:29,67.5,0.0
bicycle,1200,south mesa apts,08/27/2022,05:00,75.8,0.0
scooter,-1,lecture hall,08/28/2022,08:45,73.1,0.0
bicycle,400,one miramar street,08/28/2022,18:25,67.7,0.0
bicycle,400,ebu1,08/28/2022,14:37,67.9,0.0
bicycle,300,ucsd police department,05/02/2022,09:30,62.3,0.0
bicycle,300,ucsd police department,05/02/2022,15:27,57.8,0.0
scooter,299,price center,05/02/2022,17:00,71.2,0.0
scooter,989,warren college,05/02/2022,16:45,58.3,0.0
scooter,400,ucsd police department,05/03/2022,13:25,64.5,0.0
scooter,850,hopkins parking structure,05/08/2022,08:35,60.0,0.0
bicycle,370,warren activity center ,05/05/2022,22:00,59.5,0.0
bicycle,390,trolley - central campus,05/09/2022,13:15,64.5,0.0
scooter,-1,gilman dr / myers dr,05/09/2022,20:36,58.6,0.0
bicycle,150,price center south expansion,05/11/2022,08:57,63.5,0.1
scooter,350,ledden auditorium,05/11/2022,09:15,56.6,0.0
scooter,400,biomedical sciences wy,05/12/2022,11:00,64.9,0.0
scooter,800,price center,05/12/2022,22:05,59.4,0.0
bicycle,-1,beagle hall,05/13/2022,10:36,70.1,0.0
bicycle,1200,price center,05/13/2022,19:05,56.7,0.0
bicycle,650,voigt dr,05/13/2022,20:40,55.9,0.0
skateboard,-1,trolley - central campus,05/13/2022,21:45,55.9,0.0
scooter,-1,trolley - central campus,05/13/2022,21:45,55.9,0.0
bicycle,269,keeling apts,05/14/2022,13:00,65.6,0.0
scooter,700,camp snoopy residential hall,05/15/2022,14:14,59.7,0.0
scooter,560,osler ln,05/12/2022,10:30,69.4,0.0
bicycle,700,gilman dr,05/16/2022,15:37,59.5,0.0
scooter,-1,ucsd residence hall,05/13/2022,09:30,57.7,0.0
scooter,500,warren commuter lounge,05/19/2022,18:25,58.4,0.0
bicycle,200,latin america hall ,05/20/2022,03:15,56.6,0.0
bicycle,-1,structural engineering bldg,05/20/2022,12:39,61.9,0.1
bicycle,700,science and engineering bldg,05/20/2022,13:00,56.7,0.0
bicycle,750,charles david keeling apts,05/20/2022,03:30,56.9,0.0
scooter,850, of the trove bldg,05/20/2022,19:45,51.2,0.0
scooter,300,cse bldg,05/22/2022,01:10,63.1,0.0
scooter,300,trolley - central campus stop,05/23/2022,20:45,61.1,0.0
bicycle,400,south mesa apts,05/23/2022,08:32,66.7,0.0
bicycle,400,warren north  ,05/24/2022,08:45,67.1,0.0
bicycle,100,computer science & engineering bldg,05/24/2022,13:15,59.1,0.0
bicycle,-1,gilman parking structure,05/23/2022,12:45,58.3,0.0
bicycle,300,halicioglu data center,05/24/2022,14:27,58.7,0.0
scooter,279,lot 309,05/26/2022,19:30,59.2,0.0
bicycle,-1,discovery hall,05/28/2022,05:30,64.1,0.0
scooter,659,target,05/29/2022,10:00,64.3,0.0
bicycle,750,miramar street,05/30/2022,20:45,58.5,0.0
scooter,699,canyon vista admin & dining facility,11/01/2022,18:50,60.0,0.0
scooter,855,beagle hall,11/02/2022,07:50,64.9,0.0
scooter,425,mesa verde hall,11/02/2022,18:00,60.4,0.0
scooter,400,computer engineering bldg,11/03/2022,07:55,57.6,0.0
bicycle,2000,gilman and myers bus stop,11/04/2022,06:20,61.9,0.2
bicycle,99,pepper canyon apartments,11/03/2022,19:30,61.3,0.1
scooter,415,center hall,11/04/2022,15:00,65.9,0.0
bicycle,30,lyman ln,11/04/2022,02:25,61.2,0.1
bicycle,1015,price center -  - ,11/05/2022,03:30,51.0,0.0
scooter,1030,commuter lounge - ,11/05/2022,05:45,58.0,0.0
bicycle,280,nuevo  - viento,11/03/2022,01:10,49.1,0.0
