type,price,location,date,time
bicycle,700,scholars dr north,07/16/2022,16:30
bicycle,1600,biomedical research facility,06/02/2022,19:28
bicycle,450,athena parking,06/03/2022,13:30
bicycle,759,serf building,06/03/2022,05:05
scooter,538,trolley- central campus stop,05/26/2022,16:30
scooter,900,price center,06/05/2022,15:34
bicycle,217,canyonview,06/05/2022,22:28
bicycle,-1,main gym,06/05/2022,23:10
scooter,700,ntpll - scholars parking,06/06/2022,03:30
bicycle,900,geisel library,06/05/2022,04:40
scooter,350,price center ,06/06/2022,20:00
scooter,800,geisel library,06/08/2022,08:30
scooter,529,warren apartments,06/10/2022,18:35
bicycle,1500,discovery way,06/10/2022,02:27
bicycle,172,mesa nueva,06/10/2022,14:30
skateboard,1500,one miramar street,06/16/2022,16:31
bicycle,250,south mesa apartments,06/16/2022,23:25
bicycle,400,mesa nueva - cala,06/21/2022,12:55
bicycle,-1,trolley - central campus stop,06/21/2022,08:57
scooter,699,rimac ,06/22/2022,20:15
scooter,350,7th college,06/26/2022,14:40
bicycle,1500,europe & asia hall ,06/23/2022,23:30
bicycle,399,edu ii & literature building,06/29/2022,16:05
bicycle,300,one miramar bldg 34,06/29/2022,21:15
bicycle,600,leichtag family foundation,09/03/2024,08:17
scooter,400,main gymnasium,09/06/2024,19:30
bicycle,939,piedra - 9th floor,09/13/2024,12:00
bicycle,100,frankfurter hall,09/14/2024,15:25
bicycle,300),geneva hall,09/21/2024,02:43
bicycle,1800,geneva hall,09/21/2024,15:45
scooter,600,target-pc  on matthews lane,09/25/2024,20:22
scooter,500,center hall,09/26/2024,11:25
scooter,350,copa vida café,09/26/2024,11:40
scooter,1000,peterson hall,09/26/2024,19:04
bicycle,310,canyonview pool,09/23/2024,11:27
scooter,500,mandeville lane,09/27/2024,10:11
scooter,700,design and innovation building,09/27/2024,20:16
scooter,300,gymnasium,09/28/2024,12:25
bicycle,985,vela,09/30/2024,02:45
bicycle,120,vela,09/28/2024,22:40
scooter,350,rita atkinson residences,09/30/2024,12:32
bicycle,850,torrey pines center - south,09/24/2024,00:00
scooter,400,peterson hall,09/30/2024,17:25
scooter,377,design and innovation building,09/30/2024,19:02
scooter,-1,peterson hall,09/30/2024,16:25
scooter,300,mandeville lane,09/30/2024,17:35
bicycle,800,la jolla del sol apartments,08/01/2024,02:30
bicycle,75,central mesa apartments,08/01/2024,04:00
scooter,200,douglas apartments,08/06/2024,01:30
scooter,400,neighborhood - warren,08/07/2024,17:45
scooter,420,york hall,08/08/2024,11:35
bicycle,-1,3192 biomedical sciences way,08/08/2024,12:00
scooter,-1,pepper canyon drive/ voigt drive,08/09/2024,07:45
bicycle,70,ola parking,08/09/2024,03:15
bicycle,500,pharmaceutical sciences building,08/09/2024,10:45
bicycle,400,geisel library,08/12/2024,16:21
bicycle,2000,mandler hall,08/13/2024,20:15
scooter,150,price center plaza,08/14/2024,08:45
